Shore-MT: a scalable storage manager for the multicore era,Ryan Johnson; Ippokratis Pandis; Nikos Hardavellas; Anastasia Ailamaki; Babak Falsafi,Abstract Database storage managers have long been able to efficiently handle multipleconcurrent requests. Until recently; however; a computer contained only a few single-coreCPUs; and therefore only a few transactions could simultaneously access the storagemanager's internal structures. This allowed storage managers to use non-scalableapproaches without any penalty. With the arrival of multicore chips; however; this situation israpidly changing. More and more threads can run in parallel; stressing the internalscalability of the storage manager. Systems optimized for high performance at a limitednumber of cores are not assured similarly high performance at a higher core count; becauseunanticipated scalability obstacles arise. We benchmark four popular open-source storagemanagers (Shore; BerkeleyDB; MySQL; and PostgreSQL) on a modern multicore …,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,196
Data-oriented transaction execution,Ippokratis Pandis; Ryan Johnson; Nikos Hardavellas; Anastasia Ailamaki,Abstract While hardware technology has undergone major advancements over the pastdecade; transaction processing systems have remained largely unchanged. The number ofcores on a chip grows exponentially; following Moore's Law; allowing for an ever-increasingnumber of transactions to execute in parallel. As the number of concurrently-executingtransactions increases; contended critical sections become scalability burdens. In typicaltransaction processing systems the centralized lock manager is often the first contendedcomponent and scalability bottleneck. In this paper; we identify the conventional thread-to-transaction assignment policy as the primary cause of contention. Then; we design DORA; asystem that decomposes each transaction to smaller actions and assigns actions to threadsbased on which data each action is about to access. DORA's design allows each thread …,Proceedings of the VLDB Endowment,2010,180
Impala: A modern; open-source SQL engine for Hadoop,MKABV Bittorf; Taras Bobrovytsky; Casey Ching Alan Choi Justin Erickson; Martin Grund Daniel Hecht; Matthew Jacobs Ishaan Joshi Lenni Kuff; Dileep Kumar Alex Leblang; Nong Li Ippokratis Pandis Henry Robinson; David Rorke Silvius Rus; John Russell Dimitris Tsirogiannis Skye Wanderman; Milne Michael Yoder,ABSTRACT Cloudera Impala is a modern; open-source MPP SQL engine architected fromthe ground up for the Hadoop data processing environment. Impala provides low latencyand high concurrency for BI/analytic read-mostly queries on Hadoop; not delivered by batchframeworks such as Apache Hive. This paper presents Impala from a user's perspective;gives an overview of its architecture and main components and briefly demonstrates itssuperior performance compared against other popular SQL-on-Hadoop systems.,Proceedings of the 7th Biennial Conference on Innovative Data Systems Research,2015,172
Database servers on chip multiprocessors: Limitations and opportunities,Nikos Hardavellas; Ippokratis Pandis; Ryan Johnson; Naju Mancheril; Anastassia Ailamaki; Babak Falsafi,ABSTRACT Prior research shows that database system performance is dominated by off-chip data stalls; resulting in a concerted effort to bring data into on-chip caches. At the sametime; high levels of integration have enabled the advent of chip multiprocessors andincreasingly large (and slow) on-chip caches. These two trends pose the imminent technicaland research challenge of adapting high-performance data management software to ashifting hardware landscape. In this paper we characterize the performance of a commercialdatabase server running on emerging chip multiprocessor technologies. We find that themajor bottleneck of current software is data cache stalls; with L2 hit stalls rising from oblivionto become the dominant execution time component in some cases. We analyze the sourceof this shift and derive a list of features for future database designs to attain maximum …,*,2007,171
DB2 with BLU acceleration: So much more than just a column store,Vijayshankar Raman; Gopi Attaluri; Ronald Barber; Naresh Chainani; David Kalmuk; Vincent KulandaiSamy; Jens Leenstra; Sam Lightstone; Shaorong Liu; Guy M Lohman; Tim Malkemus; Rene Mueller; Ippokratis Pandis; Berni Schiefer; David Sharpe; Richard Sidle; Adam Storm; Liping Zhang,Abstract DB2 with BLU Acceleration deeply integrates innovative new techniques fordefining and processing column-organized tables that speed read-mostly BusinessIntelligence queries by 10 to 50 times and improve compression by 3 to 10 times; comparedto traditional row-organized tables; without the complexity of defining indexes ormaterialized views on those tables. But DB2 BLU is much more than just a column store.Exploiting frequency-based dictionary compression and main-memory query processingtechnology from the Blink project at IBM Research-Almaden; DB2 BLU performs most SQLoperations-predicate application (even range predicates and IN-lists); joins; and grouping-on the compressed values; which can be packed bit-aligned so densely that multiple valuesfit in a register and can be processed simultaneously via SIMD (single-instruction …,Proceedings of the VLDB Endowment,2013,153
Aether: a scalable approach to logging,Ryan Johnson; Ippokratis Pandis; Radu Stoica; Manos Athanassoulis; Anastasia Ailamaki,Abstract The shift to multi-core hardware brings new challenges to database systems; as thesoftware parallelism determines performance. Even though database systems traditionallyaccommodate simultaneous requests; a multitude of synchronization barriers serializeexecution. Write-ahead logging is a fundamental; omnipresent component in ARIES-styleconcurrency and recovery; and one of the most important yet-to-be addressed potentialbottlenecks; especially in OLTP workloads making frequent small changes to data. In thispaper; we identify four logging-related impediments to database system scalability. Eachissue challenges different level in the software architecture:(a) the high volume of small-sized I/O requests may saturate the disk;(b) transactions hold locks while waiting for the logflush;(c) extensive context switching overwhelms the OS scheduler with threads executing …,Proceedings of the VLDB Endowment,2010,104
Agent based middleware infrastructure for autonomous context-aware ubiquitous computing services,John Soldatos; Ippokratis Pandis; Kostas Stamatis; Lazaros Polymenakos; James L Crowley,Abstract Middleware for ubiquitous and context-aware computing entails several challenges;including the need to balance between transparency and context-awareness and therequirement for a certain degree of autonomy. In this paper we outline most of thesechallenges; and highlight techniques for successfully confronting them. Accordingly; wepresent the design and implementation of a middleware infrastructure for ubiquitouscomputing services; which facilitates development of ubiquitous services; allowing theservice developer to focus on the service logic rather than the middleware implementation.In particular; this infrastructure provides mechanisms for controlling sensors and actuators;dynamically registering and invoking resources and infrastructure elements; as well asmodeling of composite contextual information. A core characteristic of this infrastructure is …,Computer Communications,2007,86
PLP: page latch-free shared-everything OLTP,Ippokratis Pandis; Pinar Tözün; Ryan Johnson; Anastasia Ailamaki,Abstract Scaling the performance of shared-everything transaction processing systems tohighly-parallel multicore hardware remains a challenge for database system designers.Recent proposals alleviate locking and logging bottlenecks in the system; leaving pagelatching as the next potential problem. To tackle the page latching problem; we proposephysiological partitioning (PLP). The PLP design applies logical-only partitioning;maintaining the desired properties of shared-everything designs; and introduces a multi-rooted B+ Tree index structure (MRBTree) which enables the partitioning of the accesses atthe physical page level. Logical partitioning and MRBTrees together ensure that allaccesses to a given index page come from a single thread and; hence; can be entirely latch-free; an extended design makes heap page accesses thread-private as well. Eliminating …,Proceedings of the VLDB Endowment,2011,82
NUMA-aware algorithms: the case of data shuffling.,Yinan Li; Ippokratis Pandis; Rene Mueller; Vijayshankar Raman; Guy M Lohman,ABSTRACT In recent years; a new breed of non-uniform memory access (NUMA) systemshas emerged: multi-socket servers of multicores. This paper makes the case that datamanagement systems need to employ designs that take into consideration thecharacteristics of modern NUMA hardware. To prove our point; we focus on a primitive that isused as the building block of numerous data management operations: data shuffling. Weperform a comparison of different data shuffling algorithms and show that a naıve datashuffling algorithm can be up to 3× slower than the highest performing; NUMA-aware one.To achieve the highest performance; we employ a combination of thread binding; NUMA-aware thread allocation; and relaxed global coordination among threads. The importance ofsuch NUMA-aware algorithm designs will only increase; as future server systems are …,CIDR,2013,77
Improving OLTP scalability using speculative lock inheritance,Ryan Johnson; Ippokratis Pandis; Anastasia Ailamaki,Abstract Transaction processing workloads provide ample request level concurrency whichhighly parallel architectures can exploit. However; the resulting heavy utilization of coredatabase services also causes resource contention within the database engine itself andlimits scalability. Meanwhile; many database workloads consist of short transactions whichaccess only a few database records each; often with stringent response time requirements.Performance of these short transactions is determined largely by the amount of overhead thedatabase engine imposes for services such as logging; locking; and transactionmanagement. This paper highlights the negative scalability impact of database locking; aneffect which is especially severe for short transactions running on highly concurrentmulticore hardware. We propose and evaluate Speculative Lock Inheritance; a technique …,Proceedings of the VLDB Endowment,2009,53
OLTP on hardware islands,Danica Porobic; Ippokratis Pandis; Miguel Branco; Pınar Tözün; Anastasia Ailamaki,Abstract Modern hardware is abundantly parallel and increasingly heterogeneous. Thenumerous processing cores have nonuniform access latencies to the main memory and tothe processor caches; which causes variability in the communication costs. Unfortunately;database systems mostly assume that all processing cores are the same and thatmicroarchitecture differences are not significant enough to appear in critical databaseexecution paths. As we demonstrate in this paper; however; hardware heterogeneity doesappear in the critical path and conventional database architectures achieve suboptimal andeven worse; unpredictable performance. We perform a detailed performance analysis ofOLTP deployments in servers with multiple cores per CPU (multicore) and multiple CPUsper server (multisocket). We compare different database deployment strategies where we …,Proceedings of the VLDB Endowment,2012,51
TPC-E vs. TPC-C: characterizing the new TPC-E benchmark via an I/O comparison study,Shimin Chen; Anastasia Ailamaki; Manos Athanassoulis; Phillip B Gibbons; Ryan Johnson; Ippokratis Pandis; Radu Stoica,Abstract TPC-E is a new OLTP benchmark recently approved by the Transaction ProcessingPerformance Council (TPC). In this paper; we compare TPC-E with the familiar TPCCbenchmark in order to understand the behavior of the new TPC-E benchmark. In particular;we compare the I/O access patterns of the two benchmarks by analyzing two OLTP disktraces. We find that (i) TPC-E is more read intensive with a 9.7: 1 I/O read to write ratio; whileTPC-C sees a 1.9: 1 read-to-write ratio; and (ii) although TPC-E uses pseudo-realistic data;TPC-E's I/O access pattern is as random as TPC-C. The latter suggests that like TPC-C; TPC-E can benefit from SSDs; which have superior random I/O support. To verify this; we replayboth disk traces on an Intel X25-E SSD and see dramatic improvements for both TPC-C andTPC-E.,ACM SIGMOD Record,2011,51
To share or not to share?,Ryan Johnson; Stavros Harizopoulos; Nikos Hardavellas; Kivanc Sabirli; Ippokratis Pandis; Anastasia Ailamaki; Naju G Mancheril; Babak Falsafi,Abstract Intuitively; aggressive work sharing among concurrent queries in a databasesystem should always improve performance by eliminating redundant computation or dataaccesses. We show that; contrary to common intuition; this is not always the case in practice;especially in the highly parallel world of chip multiprocessors. As the number of cores in thesystem increases; a trade-off appears between exploiting work sharing opportunities and theavailable parallelism. To resolve the trade-off; we develop an analytical approach thatpredicts the effect of work sharing in multi-core systems. Database systems can use themodel to determine; statically or at runtime; whether work sharing is beneficial and apply itonly when appropriate. The contributions of this paper are as follows. First; we introduce andanalyze the effects of the trade-off between work sharing and parallelism on database …,Proceedings of the 33rd international conference on Very large data bases,2007,50
Scalability of write-ahead logging on multicore and multisocket hardware,Ryan Johnson; Ippokratis Pandis; Radu Stoica; Manos Athanassoulis; Anastasia Ailamaki,Abstract The shift to multi-core and multi-socket hardware brings new challenges todatabase systems; as the software parallelism determines performance. Even thoughdatabase systems traditionally accommodate simultaneous requests; a multitude ofsynchronization barriers serialize execution. Write-ahead logging is a fundamental;omnipresent component in ARIES-style concurrency and recovery; and one of the mostimportant yet-to-be addressed potential bottlenecks; especially in OLTP workloads makingfrequent small changes to data. In this paper; we identify four logging-related impediments todatabase system scalability. Each issue challenges different level in the softwarearchitecture:(a) the high volume of small-sized I/O requests may saturate the disk;(b)transactions hold locks while waiting for the log flush;(c) extensive context switching …,The VLDB Journal—The International Journal on Very Large Data Bases,2012,43
From A to E: analyzing TPC's OLTP benchmarks: the obsolete; the ubiquitous; the unexplored,Pınar Tözün; Ippokratis Pandis; Cansu Kaynak; Djordje Jevdjic; Anastasia Ailamaki,Abstract Introduced in 2007; TPC-E is the most recently standardized OLTP benchmark byTPC. Even though TPC-E has already been around for six years; it has not gained thepopularity of its predecessor TPC-C: all the published results for TPC-E use a singledatabase vendor's product. TPC-E is significantly different than its predecessors. Some of itsdistinguishing characteristics are the non-uniform input creation; longer-running and morecomplicated transactions; more difficult partitioning etc. These factors slow down theadoption of TPC-E. In turn; there is little knowledge in the community about how TPC-Ebehaves micro-architecturally and within the database engine. To shed light on TPC-E; weimplement it on top of a scalable open-source database engine; Shore-MT; and perform aworkload characterization study; comparing it with the previous; much better known OLTP …,Proceedings of the 16th International Conference on Extending Database Technology,2013,41
Memory-efficient hash joins,Ronald Barber; Guy Lohman; Ippokratis Pandis; Vijayshankar Raman; Richard Sidle; G Attaluri; Naresh Chainani; Sam Lightstone; David Sharpe,Abstract We present new hash tables for joins; and a hash join based on them; thatconsumes far less memory and is usually faster than recently published in-memory joins.Our hash join is not restricted to outer tables that fit wholly in memory. Key to this hash join isa new concise hash table (CHT); a linear probing hash table that has 100% fill factor; anduses a sparse bitmap with embedded population counts to almost entirely avoid collisions.This bitmap also serves as a Bloom filter for use in multi-table joins. We study the randomaccess characteristics of hash joins; and renew the case for non-partitioned hash joins. Weintroduce a variant of partitioned joins in which only the build is partitioned; but the probe isnot; as this is more efficient for large outer tables than traditional partitioned joins. This alsoavoids partitioning costs during the probe; while at the same time allowing parallel build …,Proceedings of the VLDB Endowment,2014,36
An ontology-based framework for dynamic resource management in ubiquitous computing environments,Ippokratis Pandis; John Soldatos; Alexander Paar; Jurgen Reuter; Michael Carras; Lazaros Polymenakos,Ubiquitous computing applications are supported by sophisticated middleware componentsenabling dynamic discovery; invocation and management of resources; as well asreasoning in cases of uncertainty. This paper advocates semantic Web technologies asprimary vehicles to achieve dynamic management of resources in ubiquitous computinginfrastructures and services. We introduce a framework for implementing ubiquitouscomputing services comprising a large number of sensors and perceptive interfaces;emphasizing the role of knowledge bases for dynamic registration and invocation ofresources. We present the use of ontology-based mechanisms for controlling sensors andactuators. Moreover; we describe the implementation of a knowledge base server that canleverage different ontology management systems; while also exposing a host to different …,Embedded Software and Systems; 2005. Second International Conference on,2005,33
Business Analytics in (a) Blink.,Ronald Barber; Peter Bendel; Marco Czech; Oliver Draese; Frederick Ho; Namik Hrle; Stratos Idreos; Min-Soo Kim; Oliver Koeth; Jae-Gil Lee; Tianchao Tim Li; Guy M Lohman; Konstantinos Morfonios; René Müller; Keshava Murthy; Ippokratis Pandis; Lin Qiao; Vijayshankar Raman; Richard Sidle; Knut Stolze; Sandor Szabo,Abstract The Blink project's ambitious goal is to answer all Business Intelligence (BI) queriesin mere seconds; regardless of the database size; with an extremely low total cost ofownership. Blink is a new DBMS aimed primarily at read-mostly BI query processing thatexploits scale-out of commodity multi-core processors and cheap DRAM to retain a (copy ofa) data mart completely in main memory. Additionally; it exploits proprietary compressiontechnology and cache-conscious algorithms that reduce memory bandwidth consumptionand allow most SQL query processing to be performed on the compressed data. Blinkalways scans (portions of) the data mart in parallel on all nodes; without using any indexesor materialized views; and without any query optimizer to choose among them. The Blinktechnology has thus far been incorporated into two IBM accelerator products generally …,IEEE Data Eng. Bull.,2012,30
Critical sections: re-emerging scalability concerns for database storage engines,Ryan Johnson; Ippokratis Pandis; Anastasia Ailamaki,Abstract Critical sections in database storage engines impact performance and scalabilitymore as the number of hardware contexts per chip continues to grow exponentially. Withenough threads in the system; some critical section will eventually become a bottleneck.While algorithmic changes are the only long-term solution; they tend to be complex andcostly to develop. Meanwhile; changes in enforcement of critical sections require much lesseffort. We observe that; in practice; many critical sections are so short that enforcing themcontributes a significant or even dominating fraction of their total cost and tuning themdirectly improves database system performance. The contribution of this paper is two-fold:we (a) make a thorough performance comparison of the various synchronization primitivesin the database system developer's toolbox and highlight the best ones for practical use …,Proceedings of the 4th international workshop on Data management on new hardware,2008,26
Offering open hypermedia services to the WWW: a step-by-step approach for developers,Nikos Karousos; Ippokratis Pandis; Siegfried Reich; Manolis Tzagarakis,Abstract Hypermedia systems and more specifically open hypermedia systems (OHS)provide a rich set of implementations of different hypertext flavors such as navigationalhypertext; spatial hypertext or taxonomic hypertext. Additionally; these systems offercomponent-based modular architectures and address interoperability between hypertextdomains. Despite multiple efforts of integrating Web clients; a widespread adoption of OHStechnology by Web developers has not taken place. In this paper it is argued that WebServices-which offer a component model for Web applications-can be integrated in OHSs.An architectural integration is proposed; a step-by-step process is outlined and an exampleof integration is provided. This very approach is aimed to benefit both worlds: the Webcommunity with new rich hypermedia functionality that extends the current navigational …,Proceedings of the 12th international conference on World Wide Web,2003,25
Eliminating unscalable communication in transaction processing,Ryan Johnson; Ippokratis Pandis; Anastasia Ailamaki,Abstract Multicore hardware demands software parallelism. Transaction processingworkloads typically exhibit high concurrency; and; thus; provide ample opportunities forparallel execution. Unfortunately; because of the characteristics of the application;transaction processing systems must moderate and coordinate communication betweenindependent agents; since it is notoriously difficult to implement high performing transactionprocessing systems that incur no communication whatsoever. As a result; transactionprocessing systems cannot always convert abundant; even embarrassing; request-levelparallelism into execution parallelism due to communication bottlenecks. Transactionprocessing system designers must therefore find ways to achieve scalability while stillallowing communication to occur. To this end; we identify three forms of communication in …,The VLDB Journal,2014,22
Scalable and dynamically balanced shared-everything OLTP with physiological partitioning,Pınar Tözün; Ippokratis Pandis; Ryan Johnson; Anastasia Ailamaki,Abstract Scaling the performance of shared-everything transaction processing systems tohighly parallel multicore hardware remains a challenge for database system designers.Recent proposals alleviate locking and logging bottlenecks in the system; leaving pagelatching as the next potential problem. To tackle the page latching problem; we proposephysiological partitioning (PLP). PLP applies logical-only partitioning; maintaining thedesired properties of sharedeverything designs; and introduces a multi-rooted B+ Tree indexstructure (MRBTree) that enables the partitioning of the accesses at the physical page level.Logical partitioning and MRBTrees together ensure that all accesses to a given index pagecome from a single thread and; hence; can be entirely latch free; an extended design makesheap page accesses thread private as well. Moreover; MRBTrees offer an infrastructure …,The VLDB Journal—The International Journal on Very Large Data Bases,2013,20
Ermia: Fast memory-optimized database system for heterogeneous workloads,Kangnyeon Kim; Tianzheng Wang; Ryan Johnson; Ippokratis Pandis,Abstract Large main memories and massively parallel processors have triggered not only aresurgence of high-performance transaction processing systems optimized for large main-memory and massively parallel processors; but also an increasing demand for processingheterogeneous workloads that include read-mostly transactions. Many modern transactionprocessing systems adopt a lightweight optimistic concurrency control (OCC) scheme toleverage its low overhead in low contention workloads. However; we observe that thelightweight OCC is not suitable for heterogeneous workloads; causing significant starvationof read-mostly transactions and overall performance degradation. In this paper; we presentERMIA; a memory-optimized database system built from scratch to cater the need ofhandling heterogeneous workloads. ERMIA adopts snapshot isolation concurrency …,Proceedings of the 2016 International Conference on Management of Data,2016,19
Semantic web technologies for ubiquitous computing resource management in smart spaces,John Soldatos; Kostas Stamatis; Siamak Azodolmolky; Ippokratis Pandis; Lazaros Polymenakos,Context-aware ubiquitous computing environments tend to be highly distributed andheterogeneous; while also featuring increased dynamism as elements; devices andmiddleware components join; leave and change their status. In such environments;information is derived and fused with numerous sensors and context-aware middlewarecomponents. As a result; directory and naming services; along with reasoning mechanisms;are at the heart of any non-trivial ubiquitous computing application. In this paper; we arguethat semantic web technologies can deal with directory service requirements of ubiquitouscomputing environments; much more efficiently than the wide range of legacy mechanisms.To justify this claim; we introduce a model that could greatly facilitate the development;deployment and management of ubiquitous computing applications. This model relies on …,International Journal of Web Engineering and Technology,2007,19
The bionic DBMS is coming; but what will it look like?,Ryan Johnson; Ippokratis Pandis,ABSTRACT Software has always ruled database engines; and commodity processors ridingMoore's Law doomed database machines of the 1980s from the start. However; today'shardware landscape is very different; and moving in directions that make databasemachines increasingly attractive. Stagnant clock speeds; looming dark silicon; availability ofreconfigurable hardware; and the economic clout of cloud providers all align to make customdatabase hardware economically viable or even necessary. Dataflow workloads (businessintelligence and streaming) already benefit from emerging hardware support. In this paper;we argue that control flow workloads—with their corresponding latencies—are anotherfeasible target for hardware support. To make our point; we outline a transaction processingarchitecture that offloads much of its functionality to reconfigurable hardware. We predict …,Proceedings of the 6th Biennial Conference on Innovative Data Systems Research,2013,12
Simultaneous pipelining in QPipe: Exploiting work sharing opportunities across queries,Kun Gao; Stavros Harizopoulos; Ippokratis Pandis; Vladislav Shkapenyuk; Anastassia Ailamaki,Data warehousing and scientific database applications operate on massive datasets andare characterized by complex queries accessing large portions of the database. Concurrentqueries often exhibit high data and computation overlap; eg; they access the same relationson disk; compute similar aggregates; or share intermediate results. Unfortunately; run-timesharing in modern database engines is limited by the paradigm of invoking an independentset of operator instances per query; potentially missing sharing opportunities if the bufferpool evicts data early.,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,12
Blink: Not Your Father’s Database!,Ronald Barber; Peter Bendel; Marco Czech; Oliver Draese; Frederick Ho; Namik Hrle; Stratos Idreos; Min-Soo Kim; Oliver Koeth; Jae-Gil Lee; Tianchao Tim Li; Guy Lohman; Konstantinos Morfonios; Rene Mueller; Keshava Murthy; Ippokratis Pandis; Lin Qiao; Vijayshankar Raman; Sandor Szabo; Richard Sidle; Knut Stolze,Abstract The Blink project's ambitious goals are to answer all Business Intelligence (BI)queries in mere seconds; regardless of the database size; with an extremely low total cost ofownership. It takes a very innovative and counter-intuitive approach to processing BIqueries; one that exploits several disruptive hardware and software technology trends.Specifically; it is a new; workload-optimized DBMS aimed primarily at BI query processing;and exploits scale-out of commodity multi-core processors and cheap DRAM to retain a(copy of a) data mart completely in main memory. Additionally; it exploits proprietarycompression technology and cache-conscious algorithms that reduce memory bandwidthconsumption and allow most SQL query processing to be performed on the compresseddata. Ignoring the general wisdom of the last three decades that the only way to scalably …,International Workshop on Business Intelligence for the Real-Time Enterprise,2011,11
Joins on encoded and partitioned data,Jae-Gil Lee; Gopi Attaluri; Ronald Barber; Naresh Chainani; Oliver Draese; Frederick Ho; Stratos Idreos; Min-Soo Kim; Sam Lightstone; Guy Lohman; Konstantinos Morfonios; Keshava Murthy; Ippokratis Pandis; Lin Qiao; Vijayshankar Raman; Vincent Kulandai Samy; Richard Sidle; Knut Stolze; Liping Zhang,Abstract Compression has historically been used to reduce the cost of storage; I/Os from thatstorage; and buffer pool utilization; at the expense of the CPU required to decompress dataevery time it is queried. However; significant additional CPU efficiencies can be achieved bydeferring decompression as late in query processing as possible and performing queryprocessing operations directly on the still-compressed data. In this paper; we investigate thebenefits and challenges of performing joins on compressed (or encoded) data. Wedemonstrate the benefit of independently optimizing the compression scheme of each joincolumn; even though join predicates relating values from multiple columns may requiretranslation of the encoding of one join column into the encoding of the other. We also showthe benefit of compressing" payload" data other than the join columns" on the fly;" to …,Proceedings of the VLDB Endowment,2014,9
Developer Support in Open Hypermedia Systems: Towards a Hypermedia Service Discovery Mechanism,Nikos Karousos; Ippokratis Pandis,Abstract This paper argues that the open hypermedia research community should focus onthe developer support issue. An enabling step to this target is the provision of an effectiveand easy-to-use hypermedia service discovery mechanism. The inexistence of such kind ofmechanism; for finding and using hypermedia services; amongst the Open HypermediaSystems (OHSs) is one of the main reasons for their narrow publicity and usage. Aiming tothe improvement of the third party (hypermedia-unaware) developer support; thehypermedia service discovery mechanism will boost the OHS usage by providing a standardplatform and a set of tools in order to enable the enhancement of third party applications withhypermedia functionality.,International Symposium on Metainformatics,2003,9
The serial safety net: Efficient concurrency control on modern hardware,Tianzheng Wang; Ryan Johnson; Alan Fekete; Ippokratis Pandis,Abstract Concurrency control (CC) algorithms must trade off strictness for performance; withserializable schemes generally paying high cost---both in runtime overhead such ascontention on lock tables; and in wasted efforts by aborting transactions---to preventanomalies. We propose the serial safety net (SSN); a serializability-enforcing certifier formodern hardware with substantial core count and large main memory. SSN can be appliedwith minimal overhead on top of various CC schemes that offer higher performance butadmit anomalies; eg; snapshot isolation and read committed.,Proceedings of the 11th International Workshop on Data Management on New Hardware,2015,8
A data-oriented transaction execution engine and supporting tools,Ippokratis Pandis; Pinar Tözün; Miguel Branco; Dimitris Karampinas; Danica Porobic; Ryan Johnson; Anastasia Ailamaki,Abstract Conventional OLTP systems assign each transaction to a worker thread and thatthread accesses data; depending on what the transaction dictates. This thread-to-transactionwork assignment policy leads to unpredictable accesses. The unpredictability forces eachthread to enter a large number of critical sections for the completion of even the simplest ofthe transactions; leading to poor performance and scalability on modern manycorehardware. This demonstration highlights the chaotic access patterns of conventional OLTPdesigns which are the source of scalability problems. Then; it presents a working prototypeof a transaction processing engine that follows a non-conventional architecture; called data-oriented or DORA. DORA is designed around the thread-to-data work assignment policy. Itdistributes the transaction execution to multiple threads and offers predictable accesses …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,8
Babylon bookmarks: a taxonomic approach to the management of WWW bookmarks,Nikos Karousos; Ioannis Panaretou; Ippokratis Pandis; Manolis Tzagarakis,Abstract Taxonomic reasoning can be a useful organization paradigm to address issuesdealing with the management of WWW bookmarks. Management of WWW bookmarkscomprise one of the most frequent activities of WWW users. In this paper;“BabylonBookmarks” are presented allowing users to apply taxonomic reasoning on WWWbookmarks.“Babylon Bookmarks” is based on the “Babylon System;” an infrastructure tosupport general taxonomic reasoning tasks. The “Babylon System” allows the developmentof arbitrary taxonomic services based on Open Hypermedia Specifications.,International Symposium on Metainformatics,2002,7
On-the-fly encoding method for efficient grouping and aggregation,*,Embodiments include a system for encoding data while it is being processed. The systemincludes a processor; an encoder and a decoder. The processor is configured to process aquery request by determining a set of values. The encoder is configured for encoding the setof values; such that a subsequent processing operation can be performed on the encodedvalues. The processor performs the subsequent processing operations. The decoder isconfigured for decoding each value back to its value prior to being encoded uponcompletion of the processor completing the requested query.,*,2016,6
Tutorial: SQL-on-Hadoop Systems,Daniel Abadi; Shivnath Babu; Fatma Ozcan; Ippokratis Pandis,*,Proceedings of the VLDB Endowment,2015,6
On-the-fly encoding method for efficient grouping and aggregation,*,Embodiments include a method and computer program product for encoding data while it isbeing processed as part of a query is provided. The method includes receiving a queryrequest and determining a set of values associated with data to be encoded for completingthe query request. The method also includes encoding those values such that anysubsequent processing operations can be performed on the encoded values to complete therequested query. After performing the subsequent processing operations to complete therequested query; each value is decoded back to its original value.,*,2016,5
